lat,lon,elevation,slope,aspect,01-07-2015,02-07-2015,03-07-2015,04-07-2015,05-07-2015,06-07-2015,07-07-2015,08-07-2015,09-07-2015,10-07-2015,11-07-2015,12-07-2015,13-07-2015,14-07-2015,15-07-2015
26.55,88.75,86,1.632226229,192.6027985,0,5.2,20,17.2,103,4.6,0.6,27,0,2.6,0.4,3.8,0,20.6,76
26.58,88.68,90,0.318662822,0,6.8,0,98.4,30.6,52.6,0,1.2,4.6,0,18,0,2.8,0,57.6,177.8
26.58,88.93,81,1.020137906,339.5582275,17.8,17.4,87.8,36.4,68.2,8.2,0.6,0,0,1.2,1.6,0,0,14.6,78.6
26.62,89.8,82,0.730199337,150.7824097,64.4,19,107.4,55.4,32.4,0,0,0,0,23,0,0,28,64.6,156.4
26.62,92.78,97,9.098137856,346.520874,17,17.6,0.8,0.1,48.9,13.3,0,0.1,0.7,0,0,0,0,1.1,57.9
26.67,89.33,91,0.318662822,0,3.4,19,31,27,66,15.6,0,1,0,18,0.6,0.6,1.2,0.4,96.8
26.67,90.65,119,0.73027575,150.771698,0,0,5,78.4,47.6,0,0,0,0,6.6,13.2,0,0,27.2,48.2
26.67,90.87,76,1.663648248,220.006546,0,0,10.2,22.8,6,5.4,0,0,14,6,0,0,0,20.2,2.2
26.67,93.75,81,0.781117558,294.0752869,4.6,3.2,4.4,16.2,22.6,0,0,0,0,0,0.4,0,4.4,46,16.6
26.7,92.48,82,0.318662822,180,7,6.3,20.3,0,22.3,3,0,11,0,0,5,0,0,0,43.2
26.72,94.22,101,1.020290494,20.46476555,0,0,0.3,0.5,17,0.4,0,6.6,0,45.2,1,0,10,3.3,6.2
26.72,95.02,651,18.17002487,358.9129028,0,0,15,5,20,2,0,0,13.2,9,0,8,10,4.6,2
26.75,89.58,612,6.99127388,197.7423859,34.4,12.4,59.4,87.6,5,17.8,0,0,0,53.4,0.8,6,36.4,24.4,100.4
26.75,91.67,109,0.478418648,228.2357941,0,0,0,5.9,98.2,0,4,13.6,0,0,8,0,0,0,25.8
26.75,92.35,97,0.318662822,180,1.2,0,12.4,5.8,46.6,1.8,0,1,0,0,116.4,5.6,3.2,3.8,17.8
26.75,92.87,71,1.462248445,282.5846252,4.2,34.8,0,2.1,59.8,0,0,0,0,0,0,0,2.6,7.2,215.6
26.78,91.78,145,0.95590961,180,0,0,0,5.1,110,0,0.3,17.2,0,0,0,0,0,0,24.2
26.83,94.75,103,1.193158865,216.7630768,0,0,0,26.8,16.6,0,0,0,0,0,0,33.4,1.6,3.2,51.6
26.85,88.83,141,0,0,37.8,9,40,18.2,6,25,0,63.4,0,11.8,0.4,0,0,19.2,142
26.87,88.77,153,0.637305915,180,31.6,11.2,14.2,63.2,5.8,25.4,0,44.6,0.2,12.6,6.2,0,0.4,23.8,114.6
26.87,91.93,292,2.193288088,234.4873962,0,0,20.4,42.8,23.4,0.4,0,2.8,0,27,29,0,0,7.6,32.2
26.87,94.25,88,2.645673275,164.3439789,1.5,4.6,12,0.4,4.3,0.8,0.5,0.5,0,1.3,2.8,0,9.2,0,55.8
26.88,88.47,149,5.085262775,180,220.2,18.2,5,74.6,29.4,18.6,0.2,16.6,0,21.4,24.2,0,4.4,1.8,163.6
26.88,88.55,182,1.895932674,250.3645172,0,3.6,3.8,5.2,11.6,6,22.4,40.8,4.6,7,38.2,12.2,21.8,7.4,26
26.92,88.92,282,4.685139656,245.9716797,26.2,63.2,22,63.2,7,16.6,0,33,0,19.6,11.2,20,2,66.8,110.4
26.92,95.27,820,13.99299145,206.77948,0,0.8,0.2,19,24,0,0,0,0,3,0,15,35,0.6,30.6
26.93,88.7,275,3.976606607,99.20764923,282,0,64.2,69,18.1,28,0,55,0,89,0,105,28.5,3.2,81
26.93,93.97,83,0.478842914,48.28111267,0,1.6,6,10.6,12.6,0,0,0,0,0,0,0,0,8.2,69.2
26.98,94.62,97,0.957856357,131.7062225,0,0,0,24.2,38.4,0,0,0,0,11.4,0,8,24.6,0,0
26.98,94.63,97,1.193728566,323.2003174,5.2,3.2,2.8,14.2,51.8,0,12.6,0,0,0.2,0,0,0,0.4,46.4
27.05,88.27,2029,21.55064392,39.23506165,50,18,0,3,31.8,8,4,74.1,0,71.4,115.3,0,4.4,1.4,45.2
27.05,92.7,306,15.08276844,147.7941132,0,14,21.4,4.6,125.8,0,5.6,0,0,0,0,0,0,29.2,115.8
27.07,88.47,1191,7.807373047,223.1022034,137,0,9,0,4,11,10,93,0,10,63,0,0,0,55
27.08,88.58,1155,21.39384842,173.5918274,111,0.2,48,0.1,10,20,37,62,27,37,34,2,0,0.1,39
27.08,93.62,270,19.92683601,169.0741882,2,15.6,34.2,11,42,0,0,0,0,0,0,0,0,0,220
27.1,93.62,332,4.654193878,266.0826111,3.8,17.5,64.3,45.2,19,0,0,6.7,0.1,0.3,0.3,0,0,6.6,230
27.12,88.23,417,19.81758499,188.978302,36.6,2.8,11.2,3.2,11.8,1.6,9.4,28,1.2,21.8,69,0,3,2.2,25.8
27.12,92.12,1407,34.43376541,210.6917877,1.8,0,1,2.4,6,10.8,16,5.8,0,7.6,20.1,18.2,0,1.4,43
27.18,88.5,336,24.64181137,36.8486557,2,69.2,0.8,0.8,41.6,7,15,10.2,24.8,49.8,0,0,0.6,47,7.8
27.23,88.38,2001,35.2512207,137.0418243,68.2,18.2,71,55.8,24,43.8,52.8,30.6,31,42,79.6,0,21.6,47.8,30.6
27.23,94.12,90,0.716729999,270,4.6,13.3,19.4,16,26.1,0,0,15.2,0,1,0.2,0,0,0,89.2
27.25,94.83,99,0,0,14.4,3.2,3,22.2,29,0,0,0,0,1,0,27.4,3,4.6,31.6
27.25,95.33,121,1.194764018,216.8660126,5.6,0,22.8,23,7,0,0,0,0,4.4,0,5.6,8.6,2.2,13.4
27.25,95.75,398,20.61255646,281.0830383,2,1.8,12.6,12.8,7.6,10.4,0,0,0,38.6,1.4,11.8,8.8,1.2,42.7
27.28,88.58,1309,28.87690163,176.7476349,67,0,19,6,3,40.7,9.7,15.7,2.7,47,14.7,0,0,8.7,107.5
27.28,95.68,160,0.358540565,90,0.2,5.8,29.8,14.2,19.3,0,0,0,1.8,26.6,0,0,29.8,4.2,43.8
