lat,lon,elevation,slope,aspect,01-07-2015,02-07-2015,03-07-2015,04-07-2015,05-07-2015,06-07-2015,07-07-2015,08-07-2015,09-07-2015,10-07-2015,11-07-2015,12-07-2015,13-07-2015,14-07-2015,15-07-2015
27.5,95.25,118,1.8543341,0,,,,,,,,,,,,,,,
27.5,95.5,132,2.2865055,293.91754,,,,,,,,,,,,,,,
27.5,95.75,155,2.0903451,270,,,,,,,,,,,,,,,
27.5,96,171,1.3974335,228.42662,,,,,,,,,,,,,,,
27.5,96.25,261,8.306406,270,,,,,,,,,,,,,,,
27.5,96.5,437,4.2509685,150.59044,,,,,,,,,,,,,,,
27.5,96.75,2326,27.142254,18.686287,,,,,,,,,,,,,,,
27.75,88.25,4924,3.140931,270,,,,,,,,,,,,,,,
27.75,88.5,4941,33.316418,16.158054,,,,,,,,,,,,,,,
27.75,88.75,3875,27.038113,217.53767,,,,,,,,,,,,,,,
27.75,91.75,4013,27.723864,240.47313,,,,,,,,,,,,,,,
27.75,92,4265,32.627502,270,,,,,,,,,,,,,,,
27.75,92.25,4975,26.455252,315.69955,,,,,,,,,,,,,,,
27.75,92.5,3551,28.135603,151.38763,,,,,,,,,,,,,,,
27.75,92.75,3569,34.712734,240.61292,,,,,,,,,,,,,,,
27.75,93,1631,38.42911,109.05292,,,,,,,,,,,,,,,
27.75,93.25,1878,31.579576,56.42615,,,,,,,,,,,,,,,
27.75,93.5,1536,34.65625,107.72278,,,,,,,,,,,,,,,
27.75,93.75,1420,33.316418,16.158054,,,,,,,,,,,,,,,
27.75,94,525,29.644764,94.895096,,,,,,,,,,,,,,,
27.75,94.25,568,41.679546,180,,,,,,,,,,,,,,,
27.75,94.5,298,43.454937,112.07842,,,,,,,,,,,,,,,
27.75,94.75,623,32.305206,166.61884,,,,,,,,,,,,,,,
27.75,95,116,1.3992217,228.49156,,,,,,,,,,,,,,,
27.75,95.25,117,3.274461,253.56416,,,,,,,,,,,,,,,
27.75,95.5,124,1.3992217,48.49157,,,,,,,,,,,,,,,
27.75,95.75,139,1.0479101,90,,,,,,,,,,,,,,,
27.75,96,190,4.1846514,270,,,,,,,,,,,,,,,
27.75,96.25,274,3.274461,253.56416,,,,,,,,,,,,,,,
27.75,96.5,2003,27.131435,268.18967,,,,,,,,,,,,,,,
27.75,96.75,1767,42.72811,240.61292,,,,,,,,,,,,,,,
27.75,97,2930,30.18388,77.13521,,,,,,,,,,,,,,,
28,88.5,5306,22.844776,177.50575,,,,,,,,,,,,,,,
28,88.75,5096,5.6448846,10.689473,,,,,,,,,,,,,,,
28,92.75,4711,35.5932,87.407455,,,,,,,,,,,,,,,
28,93,2517,14.23286,196.8053,,,,,,,,,,,,,,,
28,93.25,2287,50.241642,10.546349,,,,,,,,,,,,,,,
28,93.5,567,23.617493,38.97212,,,,,,,,,,,,,,,
28,93.75,566,36.517094,139.92484,,,,,,,,,,,,,,,
28,94,1789,26.000563,295.5601,,,,,,,,,,,,,,,
28,94.25,297,8.464908,150.47777,,,,,,,,,,,,,,,
28,94.5,763,22.566555,56.952255,,,,,,,,,,,,,,,
28,94.75,812,5.552739,109.452156,,,,,,,,,,,,,,,
28,95,778,9.143156,232.88112,,,,,,,,,,,,,,,
28,95.25,206,1.4010348,131.44281,,,,,,,,,,,,,,,
28,95.5,149,1.8543341,180,,,,,,,,,,,,,,,
28,95.75,160,2.099956,90,,,,,,,,,,,,,,,
28,96,244,2.7802885,0,,,,,,,,,,,,,,,
28,96.25,747,30.168081,329.69147,,,,,,,,,,,,,,,
28,96.5,2015,37.749226,83.99951,,,,,,,,,,,,,,,
28,96.75,1459,9.977052,236.48705,,,,,,,,,,,,,,,
28,97,2411,25.16429,182.2365,,,,,,,,,,,,,,,
28,97.25,4325,42.82052,132.94354,,,,,,,,,,,,,,,
28.25,93.25,2324,37.223022,97.345535,,,,,,,,,,,,,,,
28.25,93.5,3536,46.428185,197.28972,,,,,,,,,,,,,,,
28.25,93.75,2926,42.529507,247.15453,,,,,,,,,,,,,,,
28.25,94,2371,31.663212,13.790718,,,,,,,,,,,,,,,
28.25,94.25,941,33.148,260.00827,,,,,,,,,,,,,,,
28.25,94.5,1579,29.993584,348.98743,,,,,,,,,,,,,,,
28.25,94.75,588,34.612465,20.251274,,,,,,,,,,,,,,,
28.25,95,457,26.769531,288.71658,,,,,,,,,,,,,,,
28.25,95.25,1442,43.367702,12.356938,,,,,,,,,,,,,,,
28.25,95.5,1717,30.341913,14.546178,,,,,,,,,,,,,,,
28.25,95.75,420,19.207037,201.66917,,,,,,,,,,,,,,,
28.25,96,3055,14.605949,209.57956,,,,,,,,,,,,,,,
28.25,96.25,3720,13.691283,37.11879,,,,,,,,,,,,,,,
28.25,96.5,1438,24.952719,228.62347,,,,,,,,,,,,,,,
28.25,96.75,3697,32.837048,314.61346,,,,,,,,,,,,,,,
28.25,97,2538,40.021255,19.16309,,,,,,,,,,,,,,,
28.25,97.25,4396,42.480053,35.590492,,,,,,,,,,,,,,,
28.5,93.5,3214,40.686626,356.31473,,,,,,,,,,,,,,,
28.5,93.75,3359,17.2397,108.23997,,,,,,,,,,,,,,,
28.5,94,2828,31.001543,297.2561,,,,,,,,,,,,,,,
28.5,94.25,2562,45.945435,138.74516,,,,,,,,,,,,,,,
28.5,94.5,1432,15.624672,138.80426,,,,,,,,,,,,,,,
28.5,94.75,2282,39.306793,161.63974,,,,,,,,,,,,,,,
28.5,95,1371,36.38932,271.2586,,,,,,,,,,,,,,,
28.5,95.25,1237,23.389723,238.40134,,,,,,,,,,,,,,,
28.5,95.5,1945,37.85547,181.358,,,,,,,,,,,,,,,
28.5,95.75,1768,41.480568,249.64232,,,,,,,,,,,,,,,
28.5,96,4025,34.750317,259.24124,,,,,,,,,,,,,,,
28.5,96.25,3056,11.089818,214.32275,,,,,,,,,,,,,,,
28.75,94,4092,31.700481,354.85452,,,,,,,,,,,,,,,
28.75,94.25,2630,28.997068,344.5433,,,,,,,,,,,,,,,
28.75,94.5,3091,20.684423,43.207924,,,,,,,,,,,,,,,
28.75,94.75,1040,38.009098,82.86107,,,,,,,,,,,,,,,
28.75,95,1644,26.605572,275.56387,,,,,,,,,,,,,,,
28.75,95.25,2461,43.04476,245.41957,,,,,,,,,,,,,,,
28.75,95.5,2586,42.066166,350.58008,,,,,,,,,,,,,,,
28.75,95.75,3079,37.466766,353.08148,,,,,,,,,,,,,,,
28.75,96,3390,35.68666,187.38518,,,,,,,,,,,,,,,
28.75,96.25,2895,47.101875,210.9772,,,,,,,,,,,,,,,
28.75,96.5,3233,7.188668,206.05083,,,,,,,,,,,,,,,
29,94.5,2197,38.07199,104.3586,,,,,,,,,,,,,,,
29,94.75,2312,33.557865,162.1263,,,,,,,,,,,,,,,
29,95,1380,26.306494,169.21112,,,,,,,,,,,,,,,
29,95.25,3956,26.597145,125.58743,,,,,,,,,,,,,,,
29,95.5,2988,36.55085,309.28976,,,,,,,,,,,,,,,
29,95.75,1850,32.96748,267.13882,,,,,,,,,,,,,,,
29,96,3788,41.319435,235.19257,,,,,,,,,,,,,,,
29.25,94.75,4659,33.12804,84.30564,,,,,,,,,,,,,,,
29.25,95.75,3963,14.021931,74.97268,,,,,,,,,,,,,,,
29.25,96,4324,12.280429,194.8151,,,,,,,,,,,,,,,
